iter	Logloss
0	0.247219511
1	0.2471722671
2	0.2471118833
3	0.2470755315
4	0.2470370455
5	0.2469720376
6	0.2468442322
7	0.2467471231
8	0.2466147359
9	0.2465549013
10	0.2465252206
11	0.2464163846
12	0.2462840357
13	0.2462036089
14	0.2461457667
15	0.2460205446
16	0.2459253765
17	0.2458273729
18	0.2457056972
19	0.2456429542
20	0.2454894907
21	0.2454127181
22	0.2452513049
23	0.2451632631
24	0.2450833541
25	0.2450135374
26	0.2449767832
27	0.24483047
28	0.2447488604
29	0.2446749516
30	0.2445613982
31	0.2444494608
32	0.2443771971
33	0.2442599753
34	0.2442041501
35	0.2440357098
36	0.2439919792
37	0.24389423
38	0.2437948426
39	0.2437083159
40	0.2436030226
41	0.243547119
42	0.2434847295
43	0.2434332402
44	0.2433936978
45	0.2433359616
46	0.2432589721
47	0.2432174568
48	0.2431203672
49	0.2430491568
50	0.2429609135
51	0.2429225341
52	0.2428545274
53	0.2427634161
54	0.2427161356
55	0.2425871151
56	0.2424463995
57	0.2424315828
58	0.2423997985
59	0.2423487203
60	0.2422798991
61	0.242190535
62	0.242163194
63	0.2420964901
64	0.2420451736
65	0.2419508406
66	0.2418465687
67	0.2417890932
68	0.2416834235
69	0.2416295574
70	0.2415054239
71	0.2414166965
72	0.2413439213
73	0.2412812367
74	0.2411760019
75	0.2410762186
76	0.2410139367
77	0.2409076097
78	0.2408674878
79	0.2408155035
80	0.2407518541
81	0.2406336122
82	0.2405637653
83	0.2404710614
84	0.2404124597
85	0.2403774074
86	0.2403468145
87	0.2403171141
88	0.2402380942
89	0.2401617245
90	0.2400338002
91	0.2399736513
92	0.2398739408
93	0.2397852467
94	0.2397265577
95	0.2396638424
96	0.2395932163
97	0.2395407733
98	0.2394929263
99	0.2394378771
100	0.2393476648
101	0.2393061775
102	0.2392290776
103	0.2391254564
104	0.2390564404
105	0.2389584697
106	0.2388877721
107	0.2388242335
108	0.2387969152
109	0.2387304082
110	0.2386792309
111	0.2385895278
112	0.2385237135
113	0.2384758025
114	0.2384259516
115	0.2383815113
116	0.2382755626
117	0.2382110096
118	0.2381543912
119	0.2381231671
120	0.2380604185
121	0.2379602574
122	0.2379070172
123	0.237863293
124	0.2377698506
125	0.2377354592
126	0.2377350183
127	0.2377025213
128	0.2376348614
129	0.2375811539
130	0.2375282142
131	0.2374046375
132	0.2373639555
133	0.2373314402
134	0.2372428049
135	0.2371644316
136	0.2370785274
137	0.2370287358
138	0.2369342814
139	0.2368556446
140	0.2367978387
141	0.2367681341
142	0.2367030254
143	0.2366143064
144	0.2365705347
145	0.2365463767
146	0.2364782418
147	0.2363478568
148	0.2362988644
149	0.2362041314
150	0.2360654313
151	0.236035409
152	0.236003505
153	0.2358977875
154	0.2358362568
155	0.235753917
156	0.2357183908
157	0.2356343938
158	0.2355837737
159	0.2355035926
160	0.2354666896
161	0.2354043084
162	0.2353189172
163	0.2352871516
164	0.2352117217
165	0.2351118661
166	0.2350246347
167	0.2349680086
168	0.2349217213
169	0.2347870258
170	0.2347331426
171	0.234666518
172	0.2345968424
173	0.2344676816
174	0.234291008
175	0.2341887464
176	0.2341321011
177	0.2340892775
178	0.2340182199
179	0.2339469065
180	0.2338565641
181	0.2337822631
182	0.2337546892
183	0.2337217632
184	0.2336119054
185	0.2335802779
186	0.2335356483
187	0.2335089672
188	0.233464792
189	0.2334236694
190	0.2333857022
191	0.2333023452
192	0.233233087
193	0.2331882593
194	0.2331571412
195	0.2331129514
196	0.2330513232
197	0.2330127689
198	0.2329192089
199	0.2328529726
200	0.2327970696
201	0.2327008873
202	0.2325628434
203	0.2324581462
204	0.2324115728
205	0.23235196
206	0.2322829853
207	0.2321963115
208	0.2321002271
209	0.2320278083
210	0.2319532087
211	0.2318534141
212	0.231748821
213	0.2316930419
214	0.2315896608
215	0.2315051697
216	0.2314526389
217	0.2313867572
218	0.2313318309
219	0.23130372
220	0.2312415231
221	0.2311840517
222	0.2311277288
223	0.2310938956
224	0.231047057
225	0.2310030092
226	0.230915188
227	0.2308064864
228	0.2307562439
229	0.2306283585
230	0.2305845651
231	0.2305311319
232	0.2304936659
233	0.2304287563
234	0.2303956538
235	0.2303797101
236	0.2302986768
237	0.2302517369
238	0.2301888604
239	0.2301213522
240	0.2300610568
241	0.2299971133
242	0.2299524982
243	0.229902536
244	0.2298241073
245	0.2297130216
246	0.2296393998
247	0.2295987319
248	0.229493337
249	0.2293858481
250	0.229252254
251	0.2291744042
252	0.2290972031
253	0.2290631658
254	0.2289459679
255	0.2288875452
256	0.2288285222
257	0.2287376377
258	0.2286874476
259	0.2286433808
260	0.2285710745
261	0.2284733314
262	0.2284292797
263	0.2283701408
264	0.2282543511
265	0.228162341
266	0.2280935168
267	0.2280020576
268	0.2279538744
269	0.2279181889
270	0.2278785341
271	0.2278388701
272	0.227799345
273	0.2277566805
274	0.2277109741
275	0.227623507
276	0.2275343834
277	0.2274961697
278	0.227438749
279	0.227352931
280	0.2273259204
281	0.2272952603
282	0.2272636135
283	0.2272443885
284	0.2271921336
285	0.2271617728
286	0.2271135927
287	0.2270224106
288	0.2269214473
289	0.2268805288
290	0.2268317347
291	0.2268113573
292	0.2267067702
293	0.2266670013
294	0.2266034429
295	0.2265224089
296	0.2264153894
297	0.2263059042
298	0.2261884181
299	0.2261451739
300	0.2260925909
301	0.2260013229
302	0.2259570081
303	0.2258831652
304	0.2257576124
305	0.2257103127
306	0.2256638812
307	0.2256236902
308	0.2255727921
309	0.2255249485
310	0.2254897234
311	0.2254201106
312	0.2253923701
313	0.2253349092
314	0.2252351072
315	0.2251914083
316	0.2251234699
317	0.225055151
318	0.2249905611
319	0.2249271633
