iter	Passed	Remaining
0	9	9430
1	20	10400
2	30	10110
3	41	10385
4	48	9685
5	57	9586
6	65	9328
7	75	9364
8	81	8992
9	88	8768
10	97	8769
11	105	8681
12	114	8717
13	124	8769
14	133	8740
15	141	8719
16	147	8556
17	157	8575
18	167	8644
19	185	9091
20	214	10018
21	229	10189
22	245	10445
23	288	11742
24	318	12407
25	352	13219
26	366	13192
27	381	13249
28	407	13648
29	431	13948
30	457	14300
31	479	14519
32	499	14645
33	512	14565
34	528	14577
35	548	14686
36	568	14791
37	584	14803
38	600	14785
39	616	14797
40	636	14887
41	652	14877
42	677	15070
43	689	14989
44	705	14962
45	728	15112
46	746	15134
47	763	15137
48	782	15195
49	801	15222
50	812	15120
51	824	15025
52	839	14992
53	851	14909
54	867	14910
55	889	14987
56	904	14969
57	916	14877
58	935	14914
59	958	15022
60	975	15018
61	990	14982
62	998	14853
63	1010	14773
64	1020	14675
65	1035	14652
66	1044	14540
67	1055	14462
68	1066	14386
69	1074	14274
70	1084	14191
71	1096	14132
72	1113	14140
73	1128	14126
74	1152	14208
75	1164	14156
76	1181	14156
77	1200	14192
78	1213	14150
79	1238	14243
80	1248	14161
81	1266	14178
82	1287	14221
83	1299	14165
84	1311	14121
85	1335	14196
86	1354	14218
87	1377	14277
88	1388	14207
89	1400	14155
90	1409	14081
91	1419	14009
92	1426	13914
93	1435	13836
94	1441	13733
95	1451	13671
96	1457	13572
97	1464	13481
98	1475	13425
99	1480	13326
100	1489	13256
101	1497	13182
102	1506	13117
103	1514	13048
104	1524	12990
105	1533	12931
106	1542	12871
107	1550	12806
108	1560	12755
109	1568	12691
110	1575	12614
111	1587	12583
112	1599	12557
113	1610	12516
114	1620	12467
115	1630	12426
116	1640	12378
117	1649	12330
118	1659	12285
119	1671	12257
120	1680	12209
121	1689	12162
122	1695	12088
123	1704	12039
124	1713	11996
125	1721	11944
126	1726	11865
127	1739	11850
128	1750	11816
129	1760	11781
130	1766	11720
131	1777	11691
132	1785	11636
133	1792	11585
134	1799	11532
135	1806	11478
136	1814	11428
137	1824	11399
138	1832	11348
139	1841	11314
140	1850	11275
141	1859	11237
142	1868	11197
143	1874	11142
144	1882	11100
145	1888	11043
146	1897	11010
147	1908	10986
148	1918	10959
149	1927	10921
150	1936	10886
151	1944	10849
152	1953	10816
153	1962	10783
154	1969	10737
155	1982	10724
156	1990	10690
157	2002	10669
158	2010	10632
159	2018	10598
160	2032	10589
161	2040	10553
162	2047	10512
163	2056	10481
164	2065	10452
165	2075	10427
166	2082	10387
167	2090	10355
168	2099	10324
169	2113	10318
170	2121	10286
171	2131	10260
172	2140	10232
173	2149	10205
174	2157	10169
175	2168	10154
176	2177	10124
177	2189	10112
178	2199	10086
179	2210	10068
180	2218	10039
181	2231	10030
182	2240	10001
183	2249	9975
184	2257	9947
185	2266	9919
186	2276	9897
187	2288	9885
188	2295	9849
189	2306	9834
190	2315	9808
191	2323	9777
192	2334	9760
193	2344	9741
194	2353	9716
195	2359	9676
196	2368	9652
197	2376	9627
198	2386	9606
199	2396	9586
200	2407	9570
201	2415	9542
202	2422	9512
203	2431	9489
204	2439	9459
205	2446	9431
206	2453	9400
207	2462	9377
208	2471	9354
209	2478	9324
210	2490	9312
211	2499	9288
212	2509	9271
213	2518	9248
214	2527	9228
215	2534	9200
216	2541	9172
217	2552	9155
218	2561	9135
219	2568	9105
220	2576	9080
221	2585	9059
222	2593	9034
223	2600	9009
224	2610	8992
225	2616	8959
226	2624	8936
227	2634	8921
228	2644	8904
229	2657	8897
230	2668	8884
231	2680	8874
232	2690	8855
233	2700	8839
234	2707	8812
235	2716	8795
236	2726	8779
237	2735	8758
238	2743	8736
239	2750	8709
240	2757	8685
241	2763	8655
242	2770	8632
243	2781	8619
244	2791	8603
245	2801	8587
246	2809	8564
247	2820	8551
248	2829	8534
249	2838	8514
250	2853	8514
251	2865	8505
252	2878	8497
253	2890	8488
254	2897	8465
255	2909	8454
256	2916	8430
257	2923	8409
258	2936	8399
259	2943	8377
260	2952	8360
261	2961	8340
262	2971	8327
263	2979	8306
264	2987	8286
265	2994	8263
266	3005	8251
267	3013	8230
268	3022	8212
269	3029	8191
270	3038	8174
271	3050	8164
272	3058	8144
273	3068	8130
274	3077	8114
275	3087	8098
276	3095	8080
277	3102	8057
278	3110	8039
279	3118	8019
280	3126	8000
281	3133	7979
282	3142	7962
283	3153	7950
284	3159	7926
285	3167	7907
286	3175	7889
287	3182	7866
288	3191	7850
289	3198	7831
290	3209	7820
291	3220	7809
292	3228	7791
293	3237	7774
294	3248	7762
295	3257	7747
296	3266	7731
297	3275	7716
298	3284	7700
299	3295	7689
300	3308	7683
301	3316	7666
302	3323	7644
303	3330	7624
304	3336	7603
305	3343	7584
306	3350	7562
307	3357	7542
308	3366	7528
309	3375	7513
310	3381	7490
311	3388	7472
312	3394	7451
313	3401	7430
314	3409	7415
315	3415	7393
316	3422	7373
317	3428	7353
318	3433	7330
319	3439	7308
320	3444	7286
321	3449	7264
322	3455	7242
